#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
456,Victor Mesa Jr.,MIA,23,91,98,21,14,4,0,2,10,11,6,0,23,1,1,0,1,0,0.232
457,Tom Murphy,SFG,36,129,146,28,19,6,0,4,15,15,15,0,44,1,1,0,0,0,0.22
458,Max Acosta,MIA,15,58,63,15,11,3,0,1,7,6,3,0,11,1,1,0,2,1,0.254
459,Chadwick Tromp,ATL,13,47,51,11,7,2,0,1,5,5,4,0,13,0,0,0,0,0,0.232
460,Jhonkensy Noel,CLE,78,306,336,65,37,14,1,14,39,49,21,0,93,7,1,0,1,1,0.213
461,David Peralta,,50,197,217,48,31,11,1,5,22,23,16,1,46,2,2,0,1,1,0.242
462,Buddy Kennedy,PHI,10,37,42,9,6,2,0,1,5,5,4,0,9,1,0,0,0,0,0.242
463,Brandon Lockridge,SDP,10,38,42,9,7,2,0,0,5,4,4,0,12,0,0,0,3,0,0.242
464,Dylan Carlson,BAL,8,31,35,7,5,2,0,1,4,4,3,0,8,1,0,0,0,0,0.239
465,Shay Whitcomb,HOU,6,26,28,6,4,1,0,1,3,4,2,0,8,0,0,0,1,0,0.236
466,Austin Shenton,SEA,8,31,35,7,4,2,0,1,4,4,4,0,11,0,0,0,0,0,0.221
467,Tyler Wade,SDP,21,81,91,19,15,3,0,1,13,7,7,0,21,1,0,2,6,1,0.229
468,Grant McCray,SFG,28,109,119,25,16,5,1,3,15,13,8,0,40,1,0,0,4,1,0.227
469,Ronny Mauricio,NYM,10,40,42,9,6,2,0,1,5,5,2,0,10,0,0,0,1,1,0.234
