#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
48,Reed Garrett,NYM,0,66,66,278,4,3,0,0,15,,55,28,25,7,2,3,75,27,10.19,3.7,3.45,1.25
49,Cole Sands,MIN,0,64,64,268,3,3,0,1,15,,57,28,26,8,1,3,69,20,9.69,2.77,3.69,1.2
50,Robert Suarez,SDP,0,65,65,270,3,3,0,28,4,,57,28,26,8,2,2,69,22,9.52,3.04,3.56,1.21
51,Louie Varland,MIN,2,56,63,261,3,3,1,0,7,,59,27,25,7,2,2,63,16,8.98,2.33,3.6,1.2
52,A.J. Minter,NYM,0,56,56,232,3,2,0,2,12,,46,23,21,6,1,2,64,19,10.24,3.07,3.34,1.17
53,Kevin Ginkel,ARI,0,62,62,258,3,3,0,3,14,,56,26,24,6,1,2,67,20,9.71,2.87,3.5,1.22
54,Justin Slaten,BOS,0,65,65,275,3,3,0,2,15,,60,30,28,7,1,2,67,24,9.32,3.35,3.88,1.3
55,Camilo Doval,SFG,0,62,62,260,3,3,0,10,12,,50,24,22,5,2,3,75,27,10.82,3.85,3.15,1.23
56,Evan Phillips,LAD,0,56,56,233,3,2,0,0,12,,48,24,22,7,1,2,63,18,10.2,2.86,3.5,1.18
57,Andrew Nardi,MIA,0,58,58,243,3,3,0,1,10,,47,24,22,7,1,3,71,23,10.96,3.62,3.48,1.22
58,Mark Leiter Jr.,NYY,0,58,58,245,3,3,0,0,12,,50,25,23,7,2,3,66,21,10.27,3.27,3.62,1.22
59,Tanner Banks,PHI,0,68,68,285,4,3,0,0,12,,62,30,28,8,2,3,68,23,8.99,3,3.64,1.24
60,Bryan Hudson,MIL,0,60,60,252,3,3,0,1,11,,52,25,23,7,1,3,65,22,9.79,3.3,3.51,1.24
61,Bobby Miller,LAD,3,42,56.2,238,3,3,1,0,1,,52,26,24,7,1,2,58,19,9.23,3,3.79,1.25
62,Will Vest,DET,0,68,68,284,4,3,0,2,12,,61,28,26,7,2,3,68,21,8.94,2.79,3.4,1.21
63,Matthew Liberatore,STL,5,65,85.2,364,5,4,2,2,12,,80,39,36,10,2,4,80,30,8.4,3.16,3.79,1.29
64,Justin Wilson,BOS,0,55,55,231,3,3,0,0,7,,50,25,23,7,1,2,57,19,9.35,3.1,3.83,1.26
65,Pierce Johnson,ATL,0,64,64,270,4,3,0,2,12,,54,27,25,7,2,2,77,26,10.78,3.7,3.54,1.26
