#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
872,Josh Green,,4,26,53,238,3,3,,0,0,,58,29,27,6,0,6,31,19,5.26,3.23,4.58,1.45
873,Aaron Sanchez,,14,15,66.2,307,3,5,,0,0,,73,41,38,9,0,8,39,31,5.26,4.18,5.13,1.56
874,Reggie Lawson,,6,12,28,131,1,3,,0,0,,27,19,18,4,0,2,23,19,7.39,6.11,5.79,1.64
875,Houston Harding,LAA,11,20,66.1,302,3,4,,0,0,,73,43,40,11,0,1,46,34,6.24,4.62,5.43,1.61
876,Hunter Gregory,TOR,4,34,62.2,281,3,4,,0,0,,63,37,34,9,0,5,52,28,7.46,4.02,4.88,1.45
877,Dahian Santos,TOR,8,23,46.2,211,2,2,,0,0,,42,29,27,7,0,6,44,27,8.48,5.2,5.2,1.48
878,Thomas Ponticelli,,7,24,49,228,3,4,,0,0,,56,32,30,7,1,3,29,25,5.33,4.59,5.51,1.65
879,Jarret Whorff,MIN,5,29,61.1,276,3,5,,0,0,,63,37,34,9,0,5,50,28,7.34,4.11,4.99,1.48
880,Mason Albright,COL,21,22,103,467,4,8,,0,0,,122,70,65,20,0,3,62,39,5.42,3.41,5.68,1.56
881,Daniel Camarena,,10,25,55.1,250,3,5,,0,0,,63,35,32,9,1,3,34,20,5.53,3.25,5.21,1.5
882,Caleb Bolden,BOS,8,31,63,287,2,3,,0,0,,65,40,37,9,0,6,51,32,7.29,4.57,5.29,1.54
883,Nick Merkel,MIL,2,35,67.2,296,4,5,,0,0,,66,38,35,11,0,5,60,25,7.98,3.32,4.65,1.34
884,Benito Garcia,STL,1,30,60,261,3,3,,0,0,,65,34,31,8,0,4,37,16,5.55,2.4,4.65,1.35
885,Chris Kachmar,CHC,15,22,79.1,355,3,5,,0,0,,84,50,46,13,0,6,58,32,6.58,3.63,5.22,1.46
886,Houston Roth,BAL,5,28,61,273,4,5,,0,0,,62,36,33,9,0,3,50,29,7.38,4.28,4.87,1.49
887,Jeffrey Colon,,4,22,53,241,1,2,,0,0,,57,32,30,7,0,5,34,22,5.77,3.74,5.09,1.49
888,Bradley Brehmer,BAL,3,28,61.2,276,5,7,,0,0,,67,36,33,9,2,5,44,21,6.42,3.06,4.81,1.43
889,Justin Meis,PIT,6,31,69.1,314,2,4,,0,0,,73,42,39,10,0,3,53,34,6.88,4.42,5.06,1.54
890,Seth Lonsway,SFG,15,20,80.1,372,3,5,,0,0,,89,50,46,10,0,9,51,37,5.72,4.15,5.16,1.57
891,Jake Garland,ATH,16,24,97.1,435,5,8,,0,0,,110,59,55,14,0,6,51,33,4.72,3.05,5.09,1.47
892,Triston McKenzie,CLE,22,25,111.1,493,6,8,,0,1,,106,64,59,20,1,2,104,62,8.41,5.01,4.77,1.51
893,Blair Henley,HOU,14,18,68.1,316,3,4,,0,0,,71,42,39,10,0,10,51,33,6.72,4.35,5.14,1.52
894,Sam Carlson,LAD,5,32,54,248,3,3,,0,0,,56,34,31,8,0,7,43,24,7.17,4,5.17,1.48
895,Tommy Mace,CLE,22,24,119.2,537,5,8,,0,0,,131,72,67,18,0,9,71,48,5.34,3.61,5.04,1.5
896,Luis Angel Rodriguez,HOU,10,20,68,310,4,6,,0,0,,67,41,38,11,0,4,60,38,7.94,5.03,5.03,1.54
